date,exchange,code,name,total_shares_wanfen
2026-05-14,SSE,510050,50ETF,1171686.68
2026-05-14,SSE,510060,央企ETF,3795.92
2026-05-14,SSE,510090,ESG建信,2658.11
2026-05-14,SSE,510100,SZ50ETF,98780.68
2026-05-14,SSE,510130,中盘ETF,3308.51
2026-05-14,SSE,510150,消费ETF,304517.86
2026-05-14,SSE,510160,产业升级,19805.74
2026-05-14,SSE,510170,商品ETF,41291.48
2026-05-14,SSE,510180,180ETF,545405.77
2026-05-14,SSE,510190,上证50基,2915.08
2026-05-14,SSE,510200,上证券商,15488.55
2026-05-14,SSE,510210,综指ETF,593319.26
2026-05-14,SSE,510230,金融ETF,306780.8
2026-05-14,SSE,510270,国企ETF,1583.21
2026-05-14,SSE,510290,380ETF,5844.89
2026-05-14,SSE,510300,300ETF,3209178.77
2026-05-14,SSE,510310,HS300ETF,2581084.4
2026-05-14,SSE,510320,300中金,58006.85
2026-05-14,SSE,510330,华夏300,1670154.98
2026-05-14,SSE,510350,工银300,69041.47
2026-05-14,SSE,510360,广发300,147538.12
2026-05-14,SSE,510370,兴业300,8125.81
2026-05-14,SSE,510380,国寿300,116780.24
2026-05-14,SSE,510390,平安300,10775
2026-05-14,SSE,510410,资源ETF,47325.84
2026-05-14,SSE,510500,500ETF,503096.86
2026-05-14,SSE,510510,广发500,87103.83
2026-05-14,SSE,510530,工银500,4797.94
2026-05-14,SSE,510550,方正500,2174.33
2026-05-14,SSE,510560,国寿500,6231.87
2026-05-14,SSE,510570,兴业500,4806.06
2026-05-14,SSE,510580,ZZ500ETF,94616.83
2026-05-14,SSE,510590,平安500,14878.61
2026-05-14,SSE,510600,沪50ETF,1211.51
2026-05-14,SSE,510630,消费30,50036.15
2026-05-14,SSE,510650,金融行业,1045.25
2026-05-14,SSE,510660,医药行业,4387.97
2026-05-14,SSE,510670,180指,28049.3
2026-05-14,SSE,510680,万家50,2112.47
2026-05-14,SSE,510710,上50ETF,11001.89
2026-05-14,SSE,510720,红利国泰,221076.6
2026-05-14,SSE,510760,上证ETF,164650.37
2026-05-14,SSE,510770,G60创新,1861.07
2026-05-14,SSE,510800,上证50,19257.6
2026-05-14,SSE,510810,上海国企,601349.37
2026-05-14,SSE,510850,工银上50,6169.89
2026-05-14,SSE,510010,治理ETF,13552.44
2026-05-14,SSE,510020,超大ETF,3784.8
2026-05-14,SSE,510030,价值ETF,16222.98
2026-05-14,SSE,510040,上证180E,2648
2026-05-14,SSE,510050,50ETF,1171686.68
2026-05-14,SSE,510060,央企ETF,3795.92
2026-05-14,SSE,510090,ESG建信,2658.11
2026-05-14,SSE,510100,SZ50ETF,98780.68
2026-05-14,SSE,510130,中盘ETF,3308.51
2026-05-14,SSE,510150,消费ETF,304517.86
2026-05-14,SSE,510160,产业升级,19805.74
2026-05-14,SSE,510170,商品ETF,41291.48
2026-05-14,SSE,510180,180ETF,545405.77
2026-05-14,SSE,510190,上证50基,2915.08
2026-05-14,SSE,510200,上证券商,15488.55
2026-05-14,SSE,510210,综指ETF,593319.26
2026-05-14,SSE,510230,金融ETF,306780.8
2026-05-14,SSE,510270,国企ETF,1583.21
2026-05-14,SSE,510290,380ETF,5844.89
2026-05-14,SSE,510300,300ETF,3209178.77
2026-05-14,SSE,510310,HS300ETF,2581084.4
2026-05-14,SSE,510320,300中金,58006.85
2026-05-14,SSE,510330,华夏300,1670154.98
2026-05-14,SSE,510350,工银300,69041.47
2026-05-14,SSE,510360,广发300,147538.12
2026-05-14,SSE,510370,兴业300,8125.81
2026-05-14,SSE,510380,国寿300,116780.24
2026-05-14,SSE,510390,平安300,10775
2026-05-14,SSE,510410,资源ETF,47325.84
2026-05-14,SSE,510500,500ETF,503096.86
2026-05-14,SSE,510510,广发500,87103.83
2026-05-14,SSE,510530,工银500,4797.94
2026-05-14,SSE,510550,方正500,2174.33
2026-05-14,SSE,510560,国寿500,6231.87
2026-05-14,SSE,510570,兴业500,4806.06
2026-05-14,SSE,510580,ZZ500ETF,94616.83
2026-05-14,SSE,510590,平安500,14878.61
2026-05-14,SSE,510600,沪50ETF,1211.51
2026-05-14,SSE,510630,消费30,50036.15
2026-05-14,SSE,510650,金融行业,1045.25
2026-05-14,SSE,510660,医药行业,4387.97
2026-05-14,SSE,510670,180指,28049.3
2026-05-14,SSE,510680,万家50,2112.47
2026-05-14,SSE,510710,上50ETF,11001.89
2026-05-14,SSE,510720,红利国泰,221076.6
2026-05-14,SSE,510760,上证ETF,164650.37
2026-05-14,SSE,510770,G60创新,1861.07
2026-05-14,SSE,510800,上证50,19257.6
2026-05-14,SSE,510810,上海国企,601349.37
2026-05-14,SSE,510850,工银上50,6169.89
2026-05-14,SSE,510010,治理ETF,13552.44
2026-05-14,SSE,510020,超大ETF,3784.8
2026-05-14,SSE,510030,价值ETF,16222.98
2026-05-14,SSE,510040,上证180E,2648
2026-05-14,SSE,510050,50ETF,1171686.68
2026-05-14,SSE,510060,央企ETF,3795.92
2026-05-14,SSE,510090,ESG建信,2658.11
2026-05-14,SSE,510100,SZ50ETF,98780.68
2026-05-14,SSE,510130,中盘ETF,3308.51
2026-05-14,SSE,510150,消费ETF,304517.86
2026-05-14,SSE,510160,产业升级,19805.74
2026-05-14,SSE,510170,商品ETF,41291.48
2026-05-14,SSE,510180,180ETF,545405.77
2026-05-14,SSE,510190,上证50基,2915.08
2026-05-14,SSE,510200,上证券商,15488.55
2026-05-14,SSE,510210,综指ETF,593319.26
2026-05-14,SSE,510230,金融ETF,306780.8
2026-05-14,SSE,510270,国企ETF,1583.21
2026-05-14,SSE,510290,380ETF,5844.89
2026-05-14,SSE,510300,300ETF,3209178.77
2026-05-14,SSE,510310,HS300ETF,2581084.4
2026-05-14,SSE,510320,300中金,58006.85
2026-05-14,SSE,510330,华夏300,1670154.98
2026-05-14,SSE,510350,工银300,69041.47
2026-05-14,SSE,510360,广发300,147538.12
2026-05-14,SSE,510370,兴业300,8125.81
2026-05-14,SSE,510380,国寿300,116780.24
2026-05-14,SSE,510390,平安300,10775
2026-05-14,SSE,510410,资源ETF,47325.84
2026-05-14,SSE,510500,500ETF,503096.86
2026-05-14,SSE,510510,广发500,87103.83
2026-05-14,SSE,510530,工银500,4797.94
2026-05-14,SSE,510550,方正500,2174.33
2026-05-14,SSE,510560,国寿500,6231.87
2026-05-14,SSE,510570,兴业500,4806.06
2026-05-14,SSE,510580,ZZ500ETF,94616.83
2026-05-14,SSE,510590,平安500,14878.61
2026-05-14,SSE,510600,沪50ETF,1211.51
2026-05-14,SSE,510630,消费30,50036.15
2026-05-14,SSE,510650,金融行业,1045.25
2026-05-14,SSE,510660,医药行业,4387.97
2026-05-14,SSE,510670,180指,28049.3
2026-05-14,SSE,510680,万家50,2112.47
2026-05-14,SSE,510710,上50ETF,11001.89
2026-05-14,SSE,510720,红利国泰,221076.6
2026-05-14,SSE,510760,上证ETF,164650.37
2026-05-14,SSE,510770,G60创新,1861.07
2026-05-14,SSE,510800,上证50,19257.6
2026-05-14,SSE,510810,上海国企,601349.37
2026-05-14,SSE,510850,工银上50,6169.89
2026-05-14,SSE,510010,治理ETF,13552.44
2026-05-14,SSE,510020,超大ETF,3784.8
2026-05-14,SSE,510030,价值ETF,16222.98
2026-05-14,SSE,510040,上证180E,2648
2026-05-14,SSE,510050,50ETF,1171686.68
2026-05-14,SSE,510060,央企ETF,3795.92
2026-05-14,SSE,510090,ESG建信,2658.11
2026-05-14,SSE,510100,SZ50ETF,98780.68
2026-05-14,SSE,510130,中盘ETF,3308.51
2026-05-14,SSE,510150,消费ETF,304517.86
2026-05-14,SSE,510160,产业升级,19805.74
2026-05-14,SSE,510170,商品ETF,41291.48
2026-05-14,SSE,510180,180ETF,545405.77
2026-05-14,SSE,510190,上证50基,2915.08
2026-05-14,SSE,510200,上证券商,15488.55
2026-05-14,SSE,510210,综指ETF,593319.26
2026-05-14,SSE,510230,金融ETF,306780.8
2026-05-14,SSE,510270,国企ETF,1583.21
2026-05-14,SSE,510290,380ETF,5844.89
2026-05-14,SSE,510300,300ETF,3209178.77
2026-05-14,SSE,510310,HS300ETF,2581084.4
2026-05-14,SSE,510320,300中金,58006.85
2026-05-14,SSE,510330,华夏300,1670154.98
2026-05-14,SSE,510350,工银300,69041.47
2026-05-14,SSE,510360,广发300,147538.12
2026-05-14,SSE,510370,兴业300,8125.81
2026-05-14,SSE,510380,国寿300,116780.24
2026-05-14,SSE,510390,平安300,10775
2026-05-14,SSE,510410,资源ETF,47325.84
2026-05-14,SSE,510500,500ETF,503096.86
2026-05-14,SSE,510510,广发500,87103.83
2026-05-14,SSE,510530,工银500,4797.94
2026-05-14,SSE,510550,方正500,2174.33
2026-05-14,SSE,510560,国寿500,6231.87
2026-05-14,SSE,510570,兴业500,4806.06
2026-05-14,SSE,510580,ZZ500ETF,94616.83
2026-05-14,SSE,510590,平安500,14878.61
2026-05-14,SSE,510600,沪50ETF,1211.51
2026-05-14,SSE,510630,消费30,50036.15
2026-05-14,SSE,510650,金融行业,1045.25
2026-05-14,SSE,510660,医药行业,4387.97
2026-05-14,SSE,510670,180指,28049.3
2026-05-14,SSE,510680,万家50,2112.47
2026-05-14,SSE,510710,上50ETF,11001.89
2026-05-14,SSE,510720,红利国泰,221076.6
2026-05-14,SSE,510760,上证ETF,164650.37
2026-05-14,SSE,510770,G60创新,1861.07
2026-05-14,SSE,510800,上证50,19257.6
2026-05-14,SSE,510810,上海国企,601349.37
2026-05-14,SSE,510850,工银上50,6169.89
2026-05-14,SSE,510010,治理ETF,13552.44
2026-05-14,SSE,510020,超大ETF,3784.8
2026-05-14,SSE,510030,价值ETF,16222.98
2026-05-14,SSE,510040,上证180E,2648
2026-05-14,SSE,510050,50ETF,1171686.68
2026-05-14,SSE,510060,央企ETF,3795.92
2026-05-14,SSE,510090,ESG建信,2658.11
2026-05-14,SSE,510100,SZ50ETF,98780.68
2026-05-14,SSE,510130,中盘ETF,3308.51
2026-05-14,SSE,510150,消费ETF,304517.86
2026-05-14,SSE,510160,产业升级,19805.74
2026-05-14,SSE,510170,商品ETF,41291.48
2026-05-14,SSE,510180,180ETF,545405.77
2026-05-14,SSE,510190,上证50基,2915.08
2026-05-14,SSE,510200,上证券商,15488.55
2026-05-14,SSE,510210,综指ETF,593319.26
2026-05-14,SSE,510230,金融ETF,306780.8
2026-05-14,SSE,510270,国企ETF,1583.21
2026-05-14,SSE,510290,380ETF,5844.89
2026-05-14,SSE,510300,300ETF,3209178.77
2026-05-14,SSE,510310,HS300ETF,2581084.4
2026-05-14,SSE,510320,300中金,58006.85
2026-05-14,SSE,510330,华夏300,1670154.98
2026-05-14,SSE,510350,工银300,69041.47
2026-05-14,SSE,510360,广发300,147538.12
2026-05-14,SSE,510370,兴业300,8125.81
2026-05-14,SSE,510380,国寿300,116780.24
2026-05-14,SSE,510390,平安300,10775
2026-05-14,SSE,510410,资源ETF,47325.84
2026-05-14,SSE,510500,500ETF,503096.86
2026-05-14,SSE,510510,广发500,87103.83
2026-05-14,SSE,510530,工银500,4797.94
2026-05-14,SSE,510550,方正500,2174.33
2026-05-14,SSE,510560,国寿500,6231.87
2026-05-14,SSE,510570,兴业500,4806.06
2026-05-14,SSE,510580,ZZ500ETF,94616.83
2026-05-14,SSE,510590,平安500,14878.61
2026-05-14,SSE,510600,沪50ETF,1211.51
2026-05-14,SSE,510630,消费30,50036.15
2026-05-14,SSE,510650,金融行业,1045.25
2026-05-14,SSE,510660,医药行业,4387.97
2026-05-14,SSE,510670,180指,28049.3
2026-05-14,SSE,510680,万家50,2112.47
2026-05-14,SSE,510710,上50ETF,11001.89
2026-05-14,SSE,510720,红利国泰,221076.6
2026-05-14,SSE,510760,上证ETF,164650.37
2026-05-14,SSE,510770,G60创新,1861.07
2026-05-14,SSE,510800,上证50,19257.6
2026-05-14,SSE,510810,上海国企,601349.37
2026-05-14,SSE,510850,工银上50,6169.89
2026-05-14,SSE,510010,治理ETF,13552.44
2026-05-14,SSE,510020,超大ETF,3784.8
2026-05-14,SSE,510030,价值ETF,16222.98
2026-05-14,SSE,510040,上证180E,2648
2026-05-14,SSE,510050,50ETF,1171686.68
2026-05-14,SSE,510060,央企ETF,3795.92
2026-05-14,SSE,510090,ESG建信,2658.11
2026-05-14,SSE,510100,SZ50ETF,98780.68
2026-05-14,SSE,510130,中盘ETF,3308.51
2026-05-14,SSE,510150,消费ETF,304517.86
2026-05-14,SSE,510160,产业升级,19805.74
2026-05-14,SSE,510170,商品ETF,41291.48
2026-05-14,SSE,510180,180ETF,545405.77
2026-05-14,SSE,510190,上证50基,2915.08
2026-05-14,SSE,510200,上证券商,15488.55
2026-05-14,SSE,510210,综指ETF,593319.26
2026-05-14,SSE,510230,金融ETF,306780.8
2026-05-14,SSE,510270,国企ETF,1583.21
2026-05-14,SSE,510290,380ETF,5844.89
2026-05-14,SSE,510300,300ETF,3209178.77
2026-05-14,SSE,510310,HS300ETF,2581084.4
2026-05-14,SSE,510320,300中金,58006.85
2026-05-14,SSE,510330,华夏300,1670154.98
2026-05-14,SSE,510350,工银300,69041.47
2026-05-14,SSE,510360,广发300,147538.12
2026-05-14,SSE,510370,兴业300,8125.81
2026-05-14,SSE,510380,国寿300,116780.24
2026-05-14,SSE,510390,平安300,10775
2026-05-14,SSE,510410,资源ETF,47325.84
2026-05-14,SSE,510500,500ETF,503096.86
2026-05-14,SSE,510510,广发500,87103.83
2026-05-14,SSE,510530,工银500,4797.94
2026-05-14,SSE,510550,方正500,2174.33
2026-05-14,SSE,510560,国寿500,6231.87
2026-05-14,SSE,510570,兴业500,4806.06
2026-05-14,SSE,510580,ZZ500ETF,94616.83
2026-05-14,SSE,510590,平安500,14878.61
2026-05-14,SSE,510600,沪50ETF,1211.51
2026-05-14,SSE,510630,消费30,50036.15
2026-05-14,SSE,510650,金融行业,1045.25
2026-05-14,SSE,510660,医药行业,4387.97
2026-05-14,SSE,510670,180指,28049.3
2026-05-14,SSE,510680,万家50,2112.47
2026-05-14,SSE,510710,上50ETF,11001.89
2026-05-14,SSE,510720,红利国泰,221076.6
2026-05-14,SSE,510760,上证ETF,164650.37
2026-05-14,SSE,510770,G60创新,1861.07
2026-05-14,SSE,510800,上证50,19257.6
2026-05-14,SSE,510810,上海国企,601349.37
2026-05-14,SSE,510850,工银上50,6169.89
2026-05-14,SSE,510010,治理ETF,13552.44
2026-05-14,SSE,510020,超大ETF,3784.8
2026-05-14,SSE,510030,价值ETF,16222.98
2026-05-14,SSE,510040,上证180E,2648
2026-05-14,SSE,510050,50ETF,1171686.68
2026-05-14,SSE,510060,央企ETF,3795.92
2026-05-14,SSE,510090,ESG建信,2658.11
2026-05-14,SSE,510100,SZ50ETF,98780.68
2026-05-14,SSE,510130,中盘ETF,3308.51
2026-05-14,SSE,510150,消费ETF,304517.86
2026-05-14,SSE,510160,产业升级,19805.74
2026-05-14,SSE,510170,商品ETF,41291.48
2026-05-14,SSE,510180,180ETF,545405.77
2026-05-14,SSE,510190,上证50基,2915.08
2026-05-14,SSE,510200,上证券商,15488.55
2026-05-14,SSE,510210,综指ETF,593319.26
2026-05-14,SSE,510230,金融ETF,306780.8
2026-05-14,SSE,510270,国企ETF,1583.21
2026-05-14,SSE,510290,380ETF,5844.89
2026-05-14,SSE,510300,300ETF,3209178.77
2026-05-14,SSE,510310,HS300ETF,2581084.4
2026-05-14,SSE,510320,300中金,58006.85
2026-05-14,SSE,510330,华夏300,1670154.98
2026-05-14,SSE,510350,工银300,69041.47
2026-05-14,SSE,510360,广发300,147538.12
2026-05-14,SSE,510370,兴业300,8125.81
2026-05-14,SSE,510380,国寿300,116780.24
2026-05-14,SSE,510390,平安300,10775
2026-05-14,SSE,510410,资源ETF,47325.84
2026-05-14,SSE,510500,500ETF,503096.86
2026-05-14,SSE,510510,广发500,87103.83
2026-05-14,SSE,510530,工银500,4797.94
2026-05-14,SSE,510550,方正500,2174.33
2026-05-14,SSE,510560,国寿500,6231.87
2026-05-14,SSE,510570,兴业500,4806.06
2026-05-14,SSE,510580,ZZ500ETF,94616.83
2026-05-14,SSE,510590,平安500,14878.61
2026-05-14,SSE,510600,沪50ETF,1211.51
2026-05-14,SSE,510630,消费30,50036.15
2026-05-14,SSE,510650,金融行业,1045.25
2026-05-14,SSE,510660,医药行业,4387.97
2026-05-14,SSE,510670,180指,28049.3
2026-05-14,SSE,510680,万家50,2112.47
2026-05-14,SSE,510710,上50ETF,11001.89
2026-05-14,SSE,510720,红利国泰,221076.6
2026-05-14,SSE,510760,上证ETF,164650.37
2026-05-14,SSE,510770,G60创新,1861.07
2026-05-14,SSE,510800,上证50,19257.6
2026-05-14,SSE,510810,上海国企,601349.37
2026-05-14,SSE,510850,工银上50,6169.89
2026-05-14,SSE,510010,治理ETF,13552.44
2026-05-14,SSE,510020,超大ETF,3784.8
2026-05-14,SSE,510030,价值ETF,16222.98
2026-05-14,SSE,510040,上证180E,2648
2026-05-14,SSE,510050,50ETF,1171686.68
2026-05-14,SSE,510060,央企ETF,3795.92
2026-05-14,SSE,510090,ESG建信,2658.11
2026-05-14,SSE,510100,SZ50ETF,98780.68
2026-05-14,SSE,510130,中盘ETF,3308.51
2026-05-14,SSE,510150,消费ETF,304517.86
2026-05-14,SSE,510160,产业升级,19805.74
2026-05-14,SSE,510170,商品ETF,41291.48
2026-05-14,SSE,510180,180ETF,545405.77
2026-05-14,SSE,510190,上证50基,2915.08
2026-05-14,SSE,510200,上证券商,15488.55
2026-05-14,SSE,510210,综指ETF,593319.26
2026-05-14,SSE,510230,金融ETF,306780.8
2026-05-14,SSE,510270,国企ETF,1583.21
2026-05-14,SSE,510290,380ETF,5844.89
2026-05-14,SSE,510300,300ETF,3209178.77
2026-05-14,SSE,510310,HS300ETF,2581084.4
2026-05-14,SSE,510320,300中金,58006.85
2026-05-14,SSE,510330,华夏300,1670154.98
2026-05-14,SSE,510350,工银300,69041.47
2026-05-14,SSE,510360,广发300,147538.12
2026-05-14,SSE,510370,兴业300,8125.81
2026-05-14,SSE,510380,国寿300,116780.24
2026-05-14,SSE,510390,平安300,10775
2026-05-14,SSE,510410,资源ETF,47325.84
2026-05-14,SSE,510500,500ETF,503096.86
2026-05-14,SSE,510510,广发500,87103.83
2026-05-14,SSE,510530,工银500,4797.94
2026-05-14,SSE,510550,方正500,2174.33
2026-05-14,SSE,510560,国寿500,6231.87
2026-05-14,SSE,510570,兴业500,4806.06
2026-05-14,SSE,510580,ZZ500ETF,94616.83
2026-05-14,SSE,510590,平安500,14878.61
2026-05-14,SSE,510600,沪50ETF,1211.51
2026-05-14,SSE,510630,消费30,50036.15
2026-05-14,SSE,510650,金融行业,1045.25
2026-05-14,SSE,510660,医药行业,4387.97
2026-05-14,SSE,510670,180指,28049.3
2026-05-14,SSE,510680,万家50,2112.47
2026-05-14,SSE,510710,上50ETF,11001.89
2026-05-14,SSE,510720,红利国泰,221076.6
2026-05-14,SSE,510760,上证ETF,164650.37
2026-05-14,SSE,510770,G60创新,1861.07
2026-05-14,SSE,510800,上证50,19257.6
2026-05-14,SSE,510810,上海国企,601349.37
2026-05-14,SSE,510850,工银上50,6169.89
2026-05-14,SSE,510010,治理ETF,13552.44
2026-05-14,SSE,510020,超大ETF,3784.8
2026-05-14,SSE,510030,价值ETF,16222.98
2026-05-14,SSE,510040,上证180E,2648
2026-05-14,SSE,510050,50ETF,1171686.68
2026-05-14,SSE,510060,央企ETF,3795.92
2026-05-14,SSE,510090,ESG建信,2658.11
2026-05-14,SSE,510100,SZ50ETF,98780.68
2026-05-14,SSE,510130,中盘ETF,3308.51
2026-05-14,SSE,510150,消费ETF,304517.86
2026-05-14,SSE,510160,产业升级,19805.74
2026-05-14,SSE,510170,商品ETF,41291.48
2026-05-14,SSE,510180,180ETF,545405.77
2026-05-14,SSE,510190,上证50基,2915.08
2026-05-14,SSE,510200,上证券商,15488.55
2026-05-14,SSE,510210,综指ETF,593319.26
2026-05-14,SSE,510230,金融ETF,306780.8
2026-05-14,SSE,510270,国企ETF,1583.21
2026-05-14,SSE,510290,380ETF,5844.89
2026-05-14,SSE,510300,300ETF,3209178.77
2026-05-14,SSE,510310,HS300ETF,2581084.4
2026-05-14,SSE,510320,300中金,58006.85
2026-05-14,SSE,510330,华夏300,1670154.98
2026-05-14,SSE,510350,工银300,69041.47
2026-05-14,SSE,510360,广发300,147538.12
2026-05-14,SSE,510370,兴业300,8125.81
2026-05-14,SSE,510380,国寿300,116780.24
2026-05-14,SSE,510390,平安300,10775
2026-05-14,SSE,510410,资源ETF,47325.84
2026-05-14,SSE,510500,500ETF,503096.86
2026-05-14,SSE,510510,广发500,87103.83
2026-05-14,SSE,510530,工银500,4797.94
2026-05-14,SSE,510550,方正500,2174.33
2026-05-14,SSE,510560,国寿500,6231.87
2026-05-14,SSE,510570,兴业500,4806.06
2026-05-14,SSE,510580,ZZ500ETF,94616.83
2026-05-14,SSE,510590,平安500,14878.61
2026-05-14,SSE,510600,沪50ETF,1211.51
2026-05-14,SSE,510630,消费30,50036.15
2026-05-14,SSE,510650,金融行业,1045.25
2026-05-14,SSE,510660,医药行业,4387.97
2026-05-14,SSE,510670,180指,28049.3
2026-05-14,SSE,510680,万家50,2112.47
2026-05-14,SSE,510710,上50ETF,11001.89
2026-05-14,SSE,510720,红利国泰,221076.6
2026-05-14,SSE,510760,上证ETF,164650.37
2026-05-14,SSE,510770,G60创新,1861.07
2026-05-14,SSE,510800,上证50,19257.6
2026-05-14,SSE,510810,上海国企,601349.37
2026-05-14,SSE,510850,工银上50,6169.89
2026-05-14,SSE,510010,治理ETF,13552.44
2026-05-14,SSE,510020,超大ETF,3784.8
2026-05-14,SSE,510030,价值ETF,16222.98
2026-05-14,SSE,510040,上证180E,2648
2026-05-14,SSE,510050,50ETF,1171686.68
2026-05-14,SSE,510060,央企ETF,3795.92
2026-05-14,SSE,510090,ESG建信,2658.11
2026-05-14,SSE,510100,SZ50ETF,98780.68
2026-05-14,SSE,510130,中盘ETF,3308.51
2026-05-14,SSE,510150,消费ETF,304517.86
2026-05-14,SSE,510160,产业升级,19805.74
2026-05-14,SSE,510170,商品ETF,41291.48
2026-05-14,SSE,510180,180ETF,545405.77
2026-05-14,SSE,510190,上证50基,2915.08
2026-05-14,SSE,510200,上证券商,15488.55
2026-05-14,SSE,510210,综指ETF,593319.26
2026-05-14,SSE,510230,金融ETF,306780.8
2026-05-14,SSE,510270,国企ETF,1583.21
2026-05-14,SSE,510290,380ETF,5844.89
2026-05-14,SSE,510300,300ETF,3209178.77
2026-05-14,SSE,510310,HS300ETF,2581084.4
2026-05-14,SSE,510320,300中金,58006.85
2026-05-14,SSE,510330,华夏300,1670154.98
2026-05-14,SSE,510350,工银300,69041.47
2026-05-14,SSE,510360,广发300,147538.12
2026-05-14,SSE,510370,兴业300,8125.81
2026-05-14,SSE,510380,国寿300,116780.24
2026-05-14,SSE,510390,平安300,10775
2026-05-14,SSE,510410,资源ETF,47325.84
2026-05-14,SSE,510500,500ETF,503096.86
2026-05-14,SSE,510510,广发500,87103.83
2026-05-14,SSE,510530,工银500,4797.94
2026-05-14,SSE,510550,方正500,2174.33
2026-05-14,SSE,510560,国寿500,6231.87
2026-05-14,SSE,510570,兴业500,4806.06
2026-05-14,SSE,510580,ZZ500ETF,94616.83
2026-05-14,SSE,510590,平安500,14878.61
2026-05-14,SSE,510600,沪50ETF,1211.51
2026-05-14,SSE,510630,消费30,50036.15
2026-05-14,SSE,510650,金融行业,1045.25
2026-05-14,SSE,510660,医药行业,4387.97
2026-05-14,SSE,510670,180指,28049.3
2026-05-14,SSE,510680,万家50,2112.47
2026-05-14,SSE,510710,上50ETF,11001.89
2026-05-14,SSE,510720,红利国泰,221076.6
2026-05-14,SSE,510760,上证ETF,164650.37
2026-05-14,SSE,510770,G60创新,1861.07
2026-05-14,SSE,510800,上证50,19257.6
2026-05-14,SSE,510810,上海国企,601349.37
2026-05-14,SSE,510850,工银上50,6169.89
2026-05-14,SSE,510010,治理ETF,13552.44
2026-05-14,SSE,510020,超大ETF,3784.8
2026-05-14,SSE,510030,价值ETF,16222.98
2026-05-14,SSE,510040,上证180E,2648
2026-05-14,SSE,510050,50ETF,1171686.68
2026-05-14,SSE,510060,央企ETF,3795.92
2026-05-14,SSE,510090,ESG建信,2658.11
2026-05-14,SSE,510100,SZ50ETF,98780.68
2026-05-14,SSE,510130,中盘ETF,3308.51
2026-05-14,SSE,510150,消费ETF,304517.86
2026-05-14,SSE,510160,产业升级,19805.74
2026-05-14,SSE,510170,商品ETF,41291.48
2026-05-14,SSE,510180,180ETF,545405.77
2026-05-14,SSE,510190,上证50基,2915.08
2026-05-14,SSE,510200,上证券商,15488.55
2026-05-14,SSE,510210,综指ETF,593319.26
2026-05-14,SSE,510230,金融ETF,306780.8
2026-05-14,SSE,510270,国企ETF,1583.21
2026-05-14,SSE,510290,380ETF,5844.89
2026-05-14,SSE,510300,300ETF,3209178.77
2026-05-14,SSE,510310,HS300ETF,2581084.4
2026-05-14,SSE,510320,300中金,58006.85
2026-05-14,SSE,510330,华夏300,1670154.98
2026-05-14,SSE,510350,工银300,69041.47
